path,bytes,sha256,kind,modified,attribution_hint,is_os_noise
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6962.JPG","431710","65b6cc0866abbbc5a5492cd08fcde940428ab459458a5e4e24d6b5ba65c98931","image","2020-08-06T10:39:46.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6964.HEIC.jpg","1691385","b4708db4659694edee7e67b3f02c1ad70dc6996bddf1c111135fc5e693a52612","image","2020-08-06T10:39:47.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6976.HEIC.jpg","1952324","14c4cb8d1c1b88881d2a86e4d8eb2ab59f958e0a50b2a1f7924b6aaaf6439529","image","2020-08-06T10:39:48.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7002.JPG","1892037","a7d2ae4c3dcc7e7405542ff9252a0c6631cdcd07b670defab35afafb53dac06d","image","2020-08-06T10:39:48.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7003.JPG","349367","fd0f8094933afb33e26c1e49bd9b528831f87b5e861dbfaa6611f952a4c5d703","image","2020-08-06T10:39:48.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7004.HEIC.jpg","1323507","edd897b0855a4cecfae9acb0e61e183ca498f0cea038b1f7cae5c20375a8e8c3","image","2020-08-06T10:39:48.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7006.HEIC.jpg","1808856","9915bb1c16b4844649a498d99becb3f8854077b44182de96f9ef117900fc36c1","image","2020-08-06T10:39:49.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7008.HEIC.jpg","1296249","de29fa86b5dc75e92d7b9d5c73bac542b1d5f607dddc8488aa00113753185ac9","image","2020-08-06T10:39:50.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7009.JPG","405514","44a1d4f601b9ff41cde7d39f68cd823fcdfa8dc9871b8d61104048478838261d","image","2020-08-06T10:39:50.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7012.HEIC.jpg","2390561","e77dbe47fa5f50fbee2b7d605a0e5ad41c88bbd023bddb5fa35d85b1adef5a7c","image","2020-08-06T10:39:51.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7013.HEIC.jpg","2335080","6c4d6ee711b7382da57bc70fc9284134818c0cdc0a288faffc546af5bb2fbc04","image","2020-08-06T10:39:52.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7014.HEIC.jpg","2479962","cbfb40d38dafc27a0b0d375e8cfff151fe66b0f13601b49e783f3d20c77c89fe","image","2020-08-06T10:39:53.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7015.HEIC.jpg","280991","40a33fc489b051c4f7975d603a25376cea6596684c487ce4eee45393edaae6f1","image","2020-08-06T10:39:53.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_7016.HEIC.jpg","1022938","432b30942366a79f9db9f9a60108dca660d40b0ba640e5bfbcba59c25928d89b","image","2020-08-06T10:39:54.000Z","","false"
